uni,name,graduation year
pyw2102,Priscilla Wang,2017
tf2377,Tianhua Fang,2017
cc3919,Edwin Chan,2017
as4628,Alexander Sato,2017
uni0000,Jiminy Cricket,2018
uni0001,Geppetto,2018
uni0002,Pinoccio ,2017
uni0003,The Blue Fairy,2017
uni0004,Prince Philip,2017
uni0005,Princess Aurora,2017
uni0006,Maleficent,2018
uni0007,The Beast,2018
uni0008,Gaston,2017
uni0009,Mrs.Potts,2018
uni0010,Belle,2018
uni0011,Flying Carpet,2018
uni0012,Jafar,2017
uni0013,Aladdin,2017
uni0014,Jasmine,2017
uni0015,Genie,2017
uni0016,Tiana,2018
uni0017,The Frog Prince,2017
uni0018,Elsa,2017
uni0019,Anna,2017
uni0020,Olaf,2018
uni0021,Kristoff,2018
uni0022,Hans,2018
uni0023,Peter Pan,2018
uni0024,Tinkerbell,2017
uni0025,Smee,2017
uni0026,Captain Hook,2018
uni0027,Wending Darling,2017
uni0028,John Darling,2017
uni0029,Michael Darling,2017
uni0030,King Triton,2017
uni0031,Flounder,2017
uni0032,Sebastian,2017
uni0033,Ariel,2017
uni0034,Prince Eric,2017
uni0035,Ursula,2017
uni0036,Lumberjack,2018
uni0037,Little Red Riding Hood,2018
uni0038,Granny,2018
uni0039,The Big Bad Wolf,2018
uni0040,Magic Mirror,2018
uni0041,Prince Ferdinand,2018
uni0042,Evil Queen,2017
uni0043,Huntsman,2017
uni0044,Snow White,2017
uni0045,Doc,2017
uni0046,Sleepy,2017
uni0047,Dopey,2017
uni0048,Sneezy,2017
uni0049,Grumpy,2017
uni0050,Bashful,2017
uni0051,Happy,2017
uni0052,Prince Charming,2019
uni0053,Fairy Godmother,2017
uni0054,Cinderella,2017
uni0055,Evil Stepmother,2018
uni0056,Evil Stepsister 1,2017
uni0057,Evil Stepsister 2,2017
uni0058,Alice,2017
uni0059,The Caterpillar,2017
uni0060,Mad Hatter,2017
uni0061,Queen of Hearts,2018
uni0062,White Rabbit,2018
uni0063,Knave of Hearts,2017
